task,profile,family,group,topology,mode,hidden,heads,head_dim,variant,base_rank,rank_multiplier,actual_M,unique_depth,executed_depth,total_parameters,trainable_parameters,backbone_parameters,router_parameters,batch_size,epochs,lr,mlp_ratio,unified_pos,ref,matrix_macs_B1
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,13,24,2848209,2848209,2848209,0,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,13,24,2859729,2859729,2848209,11520,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,13,24,2848721,2848721,2848209,512,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,14,24,3064673,3064673,3064673,0,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,14,24,3075169,3075169,3064673,10496,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,14,24,3065185,3065185,3064673,512,4,500,0.001,1,False,8,67409596800
airfoil,paper_table8_on_release_model,linearno,depth_extension,independent_L24,native_residual,128,8,16,conv_temp,64,2,128,24,24,5278465,5278465,5278465,0,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,13,24,2874833,2874833,2874833,0,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,13,24,2886353,2886353,2874833,11520,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,13,24,2875345,2875345,2874833,512,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,14,24,3093345,3093345,3093345,0,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,14,24,3103841,3103841,3093345,10496,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,14,24,3093857,3093857,3093345,512,4,500,0.001,1,False,8,76273471872
airfoil,paper_table8_on_release_model,linearno,depth_extension,independent_L32,native_residual,128,8,16,conv_temp,64,1,64,32,32,6961025,6961025,6961025,0,4,500,0.001,1,False,8,89753948544
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,17,32,3714065,3714065,3714065,0,4,500,0.001,1,False,8,89753948544
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,17,32,3729681,3729681,3714065,15616,4,500,0.001,1,False,8,89753948544
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,17,32,3714577,3714577,3714065,512,4,500,0.001,1,False,8,89753948544
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,18,32,3930529,3930529,3930529,0,4,500,0.001,1,False,8,89753948544
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,18,32,3945121,3945121,3930529,14592,4,500,0.001,1,False,8,89753948544
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,18,32,3931041,3931041,3930529,512,4,500,0.001,1,False,8,89753948544
airfoil,paper_table8_on_release_model,linearno,depth_extension,independent_L32,native_residual,128,8,16,conv_temp,64,2,128,32,32,7026561,7026561,7026561,0,4,500,0.001,1,False,8,101572448640
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,17,32,3748881,3748881,3748881,0,4,500,0.001,1,False,8,101572448640
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,17,32,3764497,3764497,3748881,15616,4,500,0.001,1,False,8,101572448640
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,17,32,3749393,3749393,3748881,512,4,500,0.001,1,False,8,101572448640
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,18,32,3967393,3967393,3967393,0,4,500,0.001,1,False,8,101572448640
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,18,32,3981985,3981985,3967393,14592,4,500,0.001,1,False,8,101572448640
airfoil,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,18,32,3967905,3967905,3967393,512,4,500,0.001,1,False,8,101572448640
airfoil,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,3,7,683569,683569,683569,0,4,500,0.001,1,False,8,19927849344
airfoil,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,rb_attnres,128,8,16,conv_temp,64,1,64,3,7,686897,686897,683569,3328,4,500,0.001,1,False,8,19927849344
airfoil,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,3,7,684337,684337,683569,768,4,500,0.001,1,False,8,19927849344
airfoil,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,3,7,689713,689713,689713,0,4,500,0.001,1,False,8,22513146240
airfoil,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,rb_attnres,128,8,16,conv_temp,64,2,128,3,7,693041,693041,689713,3328,4,500,0.001,1,False,8,22513146240
airfoil,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,3,7,690481,690481,689713,768,4,500,0.001,1,False,8,22513146240
airfoil,official_release,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,1,64,8,8,1765889,1765889,1765889,0,4,500,0.001,1,False,8,22720893312
airfoil,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1116497,1116497,1116497,0,4,500,0.001,1,False,8,22720893312
airfoil,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,5,8,1119825,1119825,1116497,3328,4,500,0.001,1,False,8,22720893312
airfoil,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1117009,1117009,1116497,512,4,500,0.001,1,False,8,22720893312
