task,profile,family,group,topology,mode,hidden,heads,head_dim,variant,base_rank,rank_multiplier,actual_M,unique_depth,executed_depth,total_parameters,trainable_parameters,backbone_parameters,router_parameters,batch_size,epochs,lr,mlp_ratio,unified_pos,ref,matrix_macs_B1
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,13,24,2848977,2848977,2848465,512,4,500,0.001,1,False,8,43213129600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,14,24,3064929,3064929,3064929,0,4,500,0.001,1,False,8,43213129600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,14,24,3075425,3075425,3064929,10496,4,500,0.001,1,False,8,43213129600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,14,24,3065441,3065441,3064929,512,4,500,0.001,1,False,8,43213129600
darcy,paper_table8_on_release_model,linearno,depth_extension,independent_L24,native_residual,128,8,16,conv_temp,64,2,128,24,24,5278721,5278721,5278721,0,4,500,0.001,1,False,8,48895100800
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,13,24,2875089,2875089,2875089,0,4,500,0.001,1,False,8,48895100800
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,13,24,2886609,2886609,2875089,11520,4,500,0.001,1,False,8,48895100800
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,13,24,2875601,2875601,2875089,512,4,500,0.001,1,False,8,48895100800
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,14,24,3093601,3093601,3093601,0,4,500,0.001,1,False,8,48895100800
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,14,24,3104097,3104097,3093601,10496,4,500,0.001,1,False,8,48895100800
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,14,24,3094113,3094113,3093601,512,4,500,0.001,1,False,8,48895100800
darcy,paper_table8_on_release_model,linearno,depth_extension,independent_L32,native_residual,128,8,16,conv_temp,64,1,64,32,32,6961281,6961281,6961281,0,4,500,0.001,1,False,8,57536432000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,17,32,3714321,3714321,3714321,0,4,500,0.001,1,False,8,57536432000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,17,32,3729937,3729937,3714321,15616,4,500,0.001,1,False,8,57536432000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,17,32,3714833,3714833,3714321,512,4,500,0.001,1,False,8,57536432000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,18,32,3930785,3930785,3930785,0,4,500,0.001,1,False,8,57536432000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,18,32,3945377,3945377,3930785,14592,4,500,0.001,1,False,8,57536432000
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,18,32,3931297,3931297,3930785,512,4,500,0.001,1,False,8,57536432000
darcy,paper_table8_on_release_model,linearno,depth_extension,independent_L32,native_residual,128,8,16,conv_temp,64,2,128,32,32,7026817,7026817,7026817,0,4,500,0.001,1,False,8,65112393600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,17,32,3749137,3749137,3749137,0,4,500,0.001,1,False,8,65112393600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,17,32,3764753,3764753,3749137,15616,4,500,0.001,1,False,8,65112393600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,17,32,3749649,3749649,3749137,512,4,500,0.001,1,False,8,65112393600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,18,32,3967649,3967649,3967649,0,4,500,0.001,1,False,8,65112393600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,18,32,3982241,3982241,3967649,14592,4,500,0.001,1,False,8,65112393600
darcy,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,18,32,3968161,3968161,3967649,512,4,500,0.001,1,False,8,65112393600
darcy,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,3,7,683825,683825,683825,0,4,500,0.001,1,False,8,12776112000
darcy,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,rb_attnres,128,8,16,conv_temp,64,1,64,3,7,687153,687153,683825,3328,4,500,0.001,1,False,8,12776112000
darcy,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,3,7,684593,684593,683825,768,4,500,0.001,1,False,8,12776112000
darcy,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,3,7,689969,689969,689969,0,4,500,0.001,1,False,8,14433353600
darcy,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,rb_attnres,128,8,16,conv_temp,64,2,128,3,7,693297,693297,689969,3328,4,500,0.001,1,False,8,14433353600
darcy,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,3,7,690737,690737,689969,768,4,500,0.001,1,False,8,14433353600
darcy,official_release,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,1,64,8,8,1766145,1766145,1766145,0,4,500,0.001,1,False,8,14566524800
darcy,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1116753,1116753,1116753,0,4,500,0.001,1,False,8,14566524800
darcy,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,5,8,1120081,1120081,1116753,3328,4,500,0.001,1,False,8,14566524800
darcy,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1117265,1117265,1116753,512,4,500,0.001,1,False,8,14566524800
darcy,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1333217,1333217,1333217,0,4,500,0.001,1,False,8,14566524800
darcy,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,6,8,1335521,1335521,1333217,2304,4,500,0.001,1,False,8,14566524800
darcy,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1333729,1333729,1333217,512,4,500,0.001,1,False,8,14566524800
darcy,official_release,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,2,128,8,8,1782529,1782529,1782529,0,4,500,0.001,1,False,8,16460515200
darcy,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1126993,1126993,1126993,0,4,500,0.001,1,False,8,16460515200
darcy,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,5,8,1130321,1130321,1126993,3328,4,500,0.001,1,False,8,16460515200
darcy,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1127505,1127505,1126993,512,4,500,0.001,1,False,8,16460515200
darcy,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1345505,1345505,1345505,0,4,500,0.001,1,False,8,16460515200
darcy,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,6,8,1347809,1347809,1345505,2304,4,500,0.001,1,False,8,16460515200
darcy,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1346017,1346017,1345505,512,4,500,0.001,1,False,8,16460515200
darcy,transolver_matched,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,1,64,8,8,1782017,1782017,1782017,0,4,500,0.001,1,True,8,14681200000
darcy,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1132625,1132625,1132625,0,4,500,0.001,1,True,8,14681200000
darcy,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,1,64,5,8,1135953,1135953,1132625,3328,4,500,0.001,1,True,8,14681200000
darcy,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,5,8,1133137,1133137,1132625,512,4,500,0.001,1,True,8,14681200000
darcy,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1349089,1349089,1349089,0,4,500,0.001,1,True,8,14681200000
darcy,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,1,64,6,8,1351393,1351393,1349089,2304,4,500,0.001,1,True,8,14681200000
darcy,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,1,64,6,8,1349601,1349601,1349089,512,4,500,0.001,1,True,8,14681200000
darcy,transolver_matched,linearno,base_depth8,independent_L8,native_residual,128,8,16,conv_temp,64,2,128,8,8,1798401,1798401,1798401,0,4,500,0.001,1,True,8,16575190400
darcy,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1142865,1142865,1142865,0,4,500,0.001,1,True,8,16575190400
darcy,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,conv_temp,64,2,128,5,8,1146193,1146193,1142865,3328,4,500,0.001,1,True,8,16575190400
darcy,transolver_matched,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,5,8,1143377,1143377,1142865,512,4,500,0.001,1,True,8,16575190400
darcy,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1361377,1361377,1361377,0,4,500,0.001,1,True,8,16575190400
darcy,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,conv_temp,64,2,128,6,8,1363681,1363681,1361377,2304,4,500,0.001,1,True,8,16575190400
darcy,transolver_matched,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,conv_temp,64,2,128,6,8,1361889,1361889,1361377,512,4,500,0.001,1,True,8,16575190400
darcy,transolver_original,transolver,base_depth8,independent_L8,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,1,64,8,8,2826945,2826945,2826945,0,4,500,0.001,1,True,8,21676823936
darcy,transolver_original,transolver,base_depth8,independent_L8,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,2,128,8,8,2835649,2835649,2835649,0,4,500,0.001,1,True,8,23125628288
darcy,transolver_original,transolver,depth_extension,independent_L16,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,1,64,16,16,5603585,5603585,5603585,0,4,500,0.001,1,True,8,42995750272
darcy,transolver_original,transolver,depth_extension,independent_L16,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,2,128,16,16,5620993,5620993,5620993,0,4,500,0.001,1,True,8,45893358976
darcy,transolver_original,transolver,depth_extension,independent_L24,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,1,64,24,24,8380225,8380225,8380225,0,4,500,0.001,1,True,8,64314676608
darcy,transolver_original,transolver,depth_extension,independent_L24,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,2,128,24,24,8406337,8406337,8406337,0,4,500,0.001,1,True,8,68661089664
darcy,transolver_original,transolver,depth_extension,independent_L32,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,1,64,32,32,11156865,11156865,11156865,0,4,500,0.001,1,True,8,85633602944
darcy,transolver_original,transolver,depth_extension,independent_L32,native_residual,128,8,16,Physics_Attention_Structured_Mesh_2D,64,2,128,32,32,11191681,11191681,11191681,0,4,500,0.001,1,True,8,91428820352
elasticity,paper_table8_on_release_model,linearno,base_depth8,independent_L8,native_residual,128,8,16,temp,64,1,64,8,8,585217,585217,585217,0,1,500,0.001,1,False,8,812809728
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,temp,64,1,64,5,8,378577,378577,378577,0,1,500,0.001,1,False,8,812809728
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,temp,64,1,64,5,8,381905,381905,378577,3328,1,500,0.001,1,False,8,812809728
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,1,64,5,8,379089,379089,378577,512,1,500,0.001,1,False,8,812809728
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,temp,64,1,64,6,8,447457,447457,447457,0,1,500,0.001,1,False,8,812809728
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,temp,64,1,64,6,8,449761,449761,447457,2304,1,500,0.001,1,False,8,812809728
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,1,64,6,8,447969,447969,447457,512,1,500,0.001,1,False,8,812809728
elasticity,paper_table8_on_release_model,linearno,base_depth8,independent_L8,native_residual,128,8,16,temp,64,2,128,8,8,601601,601601,601601,0,1,500,0.001,1,False,8,1067613696
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,temp,64,2,128,5,8,388817,388817,388817,0,1,500,0.001,1,False,8,1067613696
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,temp,64,2,128,5,8,392145,392145,388817,3328,1,500,0.001,1,False,8,1067613696
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,2,128,5,8,389329,389329,388817,512,1,500,0.001,1,False,8,1067613696
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,temp,64,2,128,6,8,459745,459745,459745,0,1,500,0.001,1,False,8,1067613696
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,temp,64,2,128,6,8,462049,462049,459745,2304,1,500,0.001,1,False,8,1067613696
elasticity,paper_table8_on_release_model,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,2,128,6,8,460257,460257,459745,512,1,500,0.001,1,False,8,1067613696
elasticity,paper_table8_on_release_model,linearno,depth_extension,independent_L16,native_residual,128,8,16,temp,64,1,64,16,16,1136257,1136257,1136257,0,1,500,0.001,1,False,8,1593146880
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,128,8,16,temp,64,1,64,9,16,654097,654097,654097,0,1,500,0.001,1,False,8,1593146880
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,128,8,16,temp,64,1,64,9,16,661521,661521,654097,7424,1,500,0.001,1,False,8,1593146880
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,1,64,9,16,654609,654609,654097,512,1,500,0.001,1,False,8,1593146880
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,128,8,16,temp,64,1,64,10,16,722977,722977,722977,0,1,500,0.001,1,False,8,1593146880
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,128,8,16,temp,64,1,64,10,16,729377,729377,722977,6400,1,500,0.001,1,False,8,1593146880
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,1,64,10,16,723489,723489,722977,512,1,500,0.001,1,False,8,1593146880
elasticity,paper_table8_on_release_model,linearno,depth_extension,independent_L16,native_residual,128,8,16,temp,64,2,128,16,16,1169025,1169025,1169025,0,1,500,0.001,1,False,8,2102754816
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,sr_1_over_r,128,8,16,temp,64,2,128,9,16,672529,672529,672529,0,1,500,0.001,1,False,8,2102754816
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,rb_attnres,128,8,16,temp,64,2,128,9,16,679953,679953,672529,7424,1,500,0.001,1,False,8,2102754816
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c7_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,2,128,9,16,673041,673041,672529,512,1,500,0.001,1,False,8,2102754816
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,sr_1_over_r,128,8,16,temp,64,2,128,10,16,743457,743457,743457,0,1,500,0.001,1,False,8,2102754816
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,rb_attnres,128,8,16,temp,64,2,128,10,16,749857,749857,743457,6400,1,500,0.001,1,False,8,2102754816
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c6_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,2,128,10,16,743969,743969,743457,512,1,500,0.001,1,False,8,2102754816
elasticity,paper_table8_on_release_model,linearno,depth_extension,independent_L24,native_residual,128,8,16,temp,64,1,64,24,24,1687297,1687297,1687297,0,1,500,0.001,1,False,8,2373484032
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,128,8,16,temp,64,1,64,13,24,929617,929617,929617,0,1,500,0.001,1,False,8,2373484032
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,128,8,16,temp,64,1,64,13,24,941137,941137,929617,11520,1,500,0.001,1,False,8,2373484032
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,1,64,13,24,930129,930129,929617,512,1,500,0.001,1,False,8,2373484032
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,128,8,16,temp,64,1,64,14,24,998497,998497,998497,0,1,500,0.001,1,False,8,2373484032
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,128,8,16,temp,64,1,64,14,24,1008993,1008993,998497,10496,1,500,0.001,1,False,8,2373484032
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,1,64,14,24,999009,999009,998497,512,1,500,0.001,1,False,8,2373484032
elasticity,paper_table8_on_release_model,linearno,depth_extension,independent_L24,native_residual,128,8,16,temp,64,2,128,24,24,1736449,1736449,1736449,0,1,500,0.001,1,False,8,3137895936
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,sr_1_over_r,128,8,16,temp,64,2,128,13,24,956241,956241,956241,0,1,500,0.001,1,False,8,3137895936
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,rb_attnres,128,8,16,temp,64,2,128,13,24,967761,967761,956241,11520,1,500,0.001,1,False,8,3137895936
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c11_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,2,128,13,24,956753,956753,956241,512,1,500,0.001,1,False,8,3137895936
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,sr_1_over_r,128,8,16,temp,64,2,128,14,24,1027169,1027169,1027169,0,1,500,0.001,1,False,8,3137895936
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,rb_attnres,128,8,16,temp,64,2,128,14,24,1037665,1037665,1027169,10496,1,500,0.001,1,False,8,3137895936
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c10_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,2,128,14,24,1027681,1027681,1027169,512,1,500,0.001,1,False,8,3137895936
elasticity,paper_table8_on_release_model,linearno,depth_extension,independent_L32,native_residual,128,8,16,temp,64,1,64,32,32,2238337,2238337,2238337,0,1,500,0.001,1,False,8,3153821184
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,128,8,16,temp,64,1,64,17,32,1205137,1205137,1205137,0,1,500,0.001,1,False,8,3153821184
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,128,8,16,temp,64,1,64,17,32,1220753,1220753,1205137,15616,1,500,0.001,1,False,8,3153821184
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,1,64,17,32,1205649,1205649,1205137,512,1,500,0.001,1,False,8,3153821184
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,128,8,16,temp,64,1,64,18,32,1274017,1274017,1274017,0,1,500,0.001,1,False,8,3153821184
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,128,8,16,temp,64,1,64,18,32,1288609,1288609,1274017,14592,1,500,0.001,1,False,8,3153821184
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,1,64,18,32,1274529,1274529,1274017,512,1,500,0.001,1,False,8,3153821184
elasticity,paper_table8_on_release_model,linearno,depth_extension,independent_L32,native_residual,128,8,16,temp,64,2,128,32,32,2303873,2303873,2303873,0,1,500,0.001,1,False,8,4173037056
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,sr_1_over_r,128,8,16,temp,64,2,128,17,32,1239953,1239953,1239953,0,1,500,0.001,1,False,8,4173037056
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,rb_attnres,128,8,16,temp,64,2,128,17,32,1255569,1255569,1239953,15616,1,500,0.001,1,False,8,4173037056
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p1_c15_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,2,128,17,32,1240465,1240465,1239953,512,1,500,0.001,1,False,8,4173037056
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,sr_1_over_r,128,8,16,temp,64,2,128,18,32,1310881,1310881,1310881,0,1,500,0.001,1,False,8,4173037056
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,rb_attnres,128,8,16,temp,64,2,128,18,32,1325473,1325473,1310881,14592,1,500,0.001,1,False,8,4173037056
elasticity,paper_table8_on_release_model,linearno_loop,depth_extension,p2_c14_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,2,128,18,32,1311393,1311393,1310881,512,1,500,0.001,1,False,8,4173037056
elasticity,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,sr_1_over_r,128,8,16,temp,64,1,64,3,7,240817,240817,240817,0,1,500,0.001,1,False,8,715267584
elasticity,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,rb_attnres,128,8,16,temp,64,1,64,3,7,244145,244145,240817,3328,1,500,0.001,1,False,8,715267584
elasticity,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,lb_attnres_1_over_r,128,8,16,temp,64,1,64,3,7,241585,241585,240817,768,1,500,0.001,1,False,8,715267584
elasticity,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,sr_1_over_r,128,8,16,temp,64,2,128,3,7,246961,246961,246961,0,1,500,0.001,1,False,8,938221056
elasticity,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,rb_attnres,128,8,16,temp,64,2,128,3,7,250289,250289,246961,3328,1,500,0.001,1,False,8,938221056
elasticity,paper_table8_on_release_model,linearno_loop,custom_topology_control,p0_c2_r3_s1,lb_attnres_1_over_r,128,8,16,temp,64,2,128,3,7,247729,247729,246961,768,1,500,0.001,1,False,8,938221056
elasticity,official_release,linearno,base_depth8,independent_L8,native_residual,128,8,16,temp,64,1,64,8,8,585217,585217,585217,0,1,500,0.001,1,False,8,812809728
elasticity,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,temp,64,1,64,5,8,378577,378577,378577,0,1,500,0.001,1,False,8,812809728
elasticity,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,rb_attnres,128,8,16,temp,64,1,64,5,8,381905,381905,378577,3328,1,500,0.001,1,False,8,812809728
elasticity,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,lb_attnres_1_over_r,128,8,16,temp,64,1,64,5,8,379089,379089,378577,512,1,500,0.001,1,False,8,812809728
elasticity,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,sr_1_over_r,128,8,16,temp,64,1,64,6,8,447457,447457,447457,0,1,500,0.001,1,False,8,812809728
elasticity,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,rb_attnres,128,8,16,temp,64,1,64,6,8,449761,449761,447457,2304,1,500,0.001,1,False,8,812809728
elasticity,official_release,linearno_loop,base_depth8,p2_c2_r2_s2,lb_attnres_1_over_r,128,8,16,temp,64,1,64,6,8,447969,447969,447457,512,1,500,0.001,1,False,8,812809728
elasticity,official_release,linearno,base_depth8,independent_L8,native_residual,128,8,16,temp,64,2,128,8,8,601601,601601,601601,0,1,500,0.001,1,False,8,1067613696
elasticity,official_release,linearno_loop,base_depth8,p1_c3_r2_s1,sr_1_over_r,128,8,16,temp,64,2,128,5,8,388817,388817,388817,0,1,500,0.001,1,False,8,1067613696
